"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INDPROD","TOT","IDX2015","A","1990",58.59795,
"AUS","INDPROD","TOT","IDX2015","A","1991",57.84923,
"AUS","INDPROD","TOT","IDX2015","A","1992",58.0444,
"AUS","INDPROD","TOT","IDX2015","A","1993",59.86675,
"AUS","INDPROD","TOT","IDX2015","A","1994",62.75886,
"AUS","INDPROD","TOT","IDX2015","A","1995",64.30363,
"AUS","INDPROD","TOT","IDX2015","A","1996",66.79794,
"AUS","INDPROD","TOT","IDX2015","A","1997",67.68529,
"AUS","INDPROD","TOT","IDX2015","A","1998",69.94959,
"AUS","INDPROD","TOT","IDX2015","A","1999",70.69952,
"AUS","INDPROD","TOT","IDX2015","A","2000",74.44079,
"AUS","INDPROD","TOT","IDX2015","A","2001",75.3633,
"AUS","INDPROD","TOT","IDX2015","A","2002",77.50182,
"AUS","INDPROD","TOT","IDX2015","A","2003",77.55586,
"AUS","INDPROD","TOT","IDX2015","A","2004",78.17755,
"AUS","INDPROD","TOT","IDX2015","A","2005",79.55439,
"AUS","INDPROD","TOT","IDX2015","A","2006",80.83267,
"AUS","INDPROD","TOT","IDX2015","A","2007",83.68723,
"AUS","INDPROD","TOT","IDX2015","A","2008",86.17056,
"AUS","INDPROD","TOT","IDX2015","A","2009",85.1338,
"AUS","INDPROD","TOT","IDX2015","A","2010",88.63781,
"AUS","INDPROD","TOT","IDX2015","A","2011",89.38859,
"AUS","INDPROD","TOT","IDX2015","A","2012",92.24032,
"AUS","INDPROD","TOT","IDX2015","A","2013",94.06429,
"AUS","INDPROD","TOT","IDX2015","A","2014",98.3616,
"AUS","INDPROD","TOT","IDX2015","A","2015",100,
"AUS","INDPROD","TOT","IDX2015","A","2016",101.8573,
"AUS","INDPROD","TOT","IDX2015","A","2017",103.1376,
"AUS","INDPROD","TOT","IDX2015","A","2018",107.0956,
"AUS","INDPROD","TOT","IDX2015","A","2019",109.6232,
"AUT","INDPROD","TOT","IDX2015","A","1990",48.32243,
"AUT","INDPROD","TOT","IDX2015","A","1991",49.15478,
"AUT","INDPROD","TOT","IDX2015","A","1992",48.56783,
"AUT","INDPROD","TOT","IDX2015","A","1993",47.77639,
"AUT","INDPROD","TOT","IDX2015","A","1994",49.68603,
"AUT","INDPROD","TOT","IDX2015","A","1995",52.21178,
"AUT","INDPROD","TOT","IDX2015","A","1996",52.72519,
"AUT","INDPROD","TOT","IDX2015","A","1997",56.07999,
"AUT","INDPROD","TOT","IDX2015","A","1998",60.61925,
"AUT","INDPROD","TOT","IDX2015","A","1999",64.24792,
"AUT","INDPROD","TOT","IDX2015","A","2000",70.08801,
"AUT","INDPROD","TOT","IDX2015","A","2001",72.21729,
"AUT","INDPROD","TOT","IDX2015","A","2002",72.70339,
"AUT","INDPROD","TOT","IDX2015","A","2003",74.18224,
"AUT","INDPROD","TOT","IDX2015","A","2004",78.80366,
"AUT","INDPROD","TOT","IDX2015","A","2005",82.1927,
"AUT","INDPROD","TOT","IDX2015","A","2006",88.56682,
"AUT","INDPROD","TOT","IDX2015","A","2007",93.53741,
"AUT","INDPROD","TOT","IDX2015","A","2008",95.34489,
"AUT","INDPROD","TOT","IDX2015","A","2009",84.71906,
"AUT","INDPROD","TOT","IDX2015","A","2010",90.61674,
"AUT","INDPROD","TOT","IDX2015","A","2011",95.99155,
"AUT","INDPROD","TOT","IDX2015","A","2012",97.53906,
"AUT","INDPROD","TOT","IDX2015","A","2013",97.94671,
"AUT","INDPROD","TOT","IDX2015","A","2014",97.91651,
"AUT","INDPROD","TOT","IDX2015","A","2015",100,
"AUT","INDPROD","TOT","IDX2015","A","2016",102.4083,
"AUT","INDPROD","TOT","IDX2015","A","2017",107.575,
"AUT","INDPROD","TOT","IDX2015","A","2018",112.7167,
"AUT","INDPROD","TOT","IDX2015","A","2019",113.2,
"BEL","INDPROD","TOT","IDX2015","A","1990",61.19147,
"BEL","INDPROD","TOT","IDX2015","A","1991",60.00388,
"BEL","INDPROD","TOT","IDX2015","A","1992",59.76233,
"BEL","INDPROD","TOT","IDX2015","A","1993",56.70275,
"BEL","INDPROD","TOT","IDX2015","A","1994",57.88532,
"BEL","INDPROD","TOT","IDX2015","A","1995",61.62424,
"BEL","INDPROD","TOT","IDX2015","A","1996",61.94127,
"BEL","INDPROD","TOT","IDX2015","A","1997",64.82975,
"BEL","INDPROD","TOT","IDX2015","A","1998",67.01875,
"BEL","INDPROD","TOT","IDX2015","A","1999",67.61758,
"BEL","INDPROD","TOT","IDX2015","A","2000",71.23573,
"BEL","INDPROD","TOT","IDX2015","A","2001",74.3688,
"BEL","INDPROD","TOT","IDX2015","A","2002",74.61045,
"BEL","INDPROD","TOT","IDX2015","A","2003",75.76868,
"BEL","INDPROD","TOT","IDX2015","A","2004",81.14323,
"BEL","INDPROD","TOT","IDX2015","A","2005",83.87634,
"BEL","INDPROD","TOT","IDX2015","A","2006",88.94259,
"BEL","INDPROD","TOT","IDX2015","A","2007",95.98367,
"BEL","INDPROD","TOT","IDX2015","A","2008",99.88335,
"BEL","INDPROD","TOT","IDX2015","A","2009",88.65928,
"BEL","INDPROD","TOT","IDX2015","A","2010",96.99192,
"BEL","INDPROD","TOT","IDX2015","A","2011",101.5082,
"BEL","INDPROD","TOT","IDX2015","A","2012",99.81668,
"BEL","INDPROD","TOT","IDX2015","A","2013",99.31673,
"BEL","INDPROD","TOT","IDX2015","A","2014",100.6666,
"BEL","INDPROD","TOT","IDX2015","A","2015",100,
"BEL","INDPROD","TOT","IDX2015","A","2016",104.4746,
"BEL","INDPROD","TOT","IDX2015","A","2017",107.2411,
"BEL","INDPROD","TOT","IDX2015","A","2018",108.6993,
"BEL","INDPROD","TOT","IDX2015","A","2019",113.9572,
"CAN","INDPROD","TOT","IDX2015","A","1990",68.45214,
"CAN","INDPROD","TOT","IDX2015","A","1991",65.83945,
"CAN","INDPROD","TOT","IDX2015","A","1992",66.54071,
"CAN","INDPROD","TOT","IDX2015","A","1993",69.55181,
"CAN","INDPROD","TOT","IDX2015","A","1994",74.03701,
"CAN","INDPROD","TOT","IDX2015","A","1995",77.39639,
"CAN","INDPROD","TOT","IDX2015","A","1996",78.31631,
"CAN","INDPROD","TOT","IDX2015","A","1997",82.73647,
"CAN","INDPROD","TOT","IDX2015","A","1998",85.41064,
"CAN","INDPROD","TOT","IDX2015","A","1999",90.46307,
"CAN","INDPROD","TOT","IDX2015","A","2000",96.83224,
"CAN","INDPROD","TOT","IDX2015","A","2001",93.7872,
"CAN","INDPROD","TOT","IDX2015","A","2002",95.56929,
"CAN","INDPROD","TOT","IDX2015","A","2003",95.65697,
"CAN","INDPROD","TOT","IDX2015","A","2004",97.75493,
"CAN","INDPROD","TOT","IDX2015","A","2005",99.97868,
"CAN","INDPROD","TOT","IDX2015","A","2006",99.77518,
"CAN","INDPROD","TOT","IDX2015","A","2007",98.354,
"CAN","INDPROD","TOT","IDX2015","A","2008",95.09732,
"CAN","INDPROD","TOT","IDX2015","A","2009",84.85164,
"CAN","INDPROD","TOT","IDX2015","A","2010",89.93976,
"CAN","INDPROD","TOT","IDX2015","A","2011",94.22417,
"CAN","INDPROD","TOT","IDX2015","A","2012",94.09346,
"CAN","INDPROD","TOT","IDX2015","A","2013",95.71469,
"CAN","INDPROD","TOT","IDX2015","A","2014",100.4259,
"CAN","INDPROD","TOT","IDX2015","A","2015",100,
"CAN","INDPROD","TOT","IDX2015","A","2016",100.0519,
"CAN","INDPROD","TOT","IDX2015","A","2017",105.5242,
"CAN","INDPROD","TOT","IDX2015","A","2018",109.6565,
"CAN","INDPROD","TOT","IDX2015","A","2019",109.2726,
"CZE","INDPROD","TOT","IDX2015","A","1990",72.50998,
"CZE","INDPROD","TOT","IDX2015","A","1991",56.61532,
"CZE","INDPROD","TOT","IDX2015","A","1992",52.09548,
"CZE","INDPROD","TOT","IDX2015","A","1993",49.3571,
"CZE","INDPROD","TOT","IDX2015","A","1994",50.39227,
"CZE","INDPROD","TOT","IDX2015","A","1995",54.79174,
"CZE","INDPROD","TOT","IDX2015","A","1996",55.87442,
